title;price;url_listing;posting_date;kelurahan;kabupaten_kota
PUMA BASKET White;135000;https://olx.co.id/item/puma-basket-white-iid-916653964;2024-09-01 00:00:00;Citayam;Depok Kota
Sepatu Futsal Puma Ultra 4.1 IT Size 43;230000;https://olx.co.id/item/sepatu-futsal-puma-ultra-41-it-size-43-iid-921516128;2024-09-01 00:00:00;Kelapa Dua;Tangerang Kab.
Puma Smash V2 White Black;800000;https://olx.co.id/item/puma-smash-v2-white-black-iid-925497255;2024-09-01 00:00:00;Bekasi Selatan;Bekasi Kota
sepatu futsal puma future 19,3 netfit it;300000;https://olx.co.id/item/sepatu-futsal-puma-future-193-netfit-it-iid-918731388;2024-09-01 00:00:00;Bojongloa Kaler;Bandung Kota
Puma Men's Caracal Sneaker 37030412;600000;https://olx.co.id/item/puma-mens-caracal-sneaker-37030412-iid-922628843;2024-09-01 00:00:00;Kebon Jeruk;Jakarta Barat
Puma Suede Classic 35263464;600000;https://olx.co.id/item/puma-suede-classic-35263464-iid-922627557;2024-09-01 00:00:00;Kebon Jeruk;Jakarta Barat
Sepatu Sneakers Pria Puma Shuffle Mid Black Gray Gold Size 43 Original;750000;https://olx.co.id/item/sepatu-sneakers-pria-puma-shuffle-mid-black-gray-gold-size-43-original-iid-922424969;2024-09-01 00:00:00;Parung Kuda;Sukabumi Kab.
Sepatu Lari Running Puma Deviate Nitro 2 (size 38 / 24cm);1300000;https://olx.co.id/item/sepatu-lari-running-puma-deviate-nitro-2-size-38-24cm-iid-925482462;2024-09-01 00:00:00;Bogor Kota;Jawa Barat
Sepatu PUMA gold series;250000;https://olx.co.id/item/sepatu-puma-gold-series-iid-925479747;2024-09-01 00:00:00;Grogol Petamburan;Jakarta Barat
Puma Suede Classic XXI;800000;https://olx.co.id/item/puma-suede-classic-xxi-iid-925478452;2024-09-01 00:00:00;Cipondoh;Tangerang Kota
Sepatu Bola Puma Future 7 Play TT;500000;https://olx.co.id/item/sepatu-bola-puma-future-7-play-tt-iid-924164856;2024-09-01 00:00:00;Medan Barat;Medan Kota
sepatu futsal puma truco III;400000;https://olx.co.id/item/sepatu-futsal-puma-truco-iii-iid-925477426;2024-09-01 00:00:00;Pesanggrahan;Jakarta Selatan
sepatu futsal puma truco III;400000;https://olx.co.id/item/sepatu-futsal-puma-truco-iii-iid-925477298;2024-09-01 00:00:00;Pesanggrahan;Jakarta Selatan
Sepatu anak merk puma;100000;https://olx.co.id/item/sepatu-anak-merk-puma-iid-918116439;2024-09-01 00:00:00;Mlati;Sleman Kab.
Sepatu futsal puma future;300000;https://olx.co.id/item/sepatu-futsal-puma-future-iid-925475254;2024-09-01 00:00:00;Depok;Sleman Kab.
Sepatu import Puma size 39 mulus;200000;https://olx.co.id/item/sepatu-import-puma-size-39-mulus-iid-925471532;2024-09-01 00:00:00;Bekasi Utara;Bekasi Kota
Puma RS-X Bold women;250000;https://olx.co.id/item/puma-rs-x-bold-women-iid-924203407;2024-09-01 00:00:00;Pancoran Mas;Depok Kota
Sepatu futsal Puma Future;500000;https://olx.co.id/item/sepatu-futsal-puma-future-iid-925466607;2024-09-01 00:00:00;Cilandak;Jakarta Selatan
Puma miragesport flanel;600000;https://olx.co.id/item/puma-miragesport-flanel-iid-924073502;2024-09-01 00:00:00;Rawalumbu;Bekasi Kota
Sepatu Puma Ori series BMW;600000;https://olx.co.id/item/sepatu-puma-ori-series-bmw-iid-925464329;2024-09-01 00:00:00;Panakkukang;Makassar Kota
